metric,point_estimate,ci95_low,ci95_high,units,sample_count,independent_unit,split,source_artifact,json_path,estimate_method,ci_source,ci_status
BASE_STATE_mean_nll,2.0184217002242804,,,nats/token,64,document,LOCKED,e002_coupler/artifacts/attempt_001/verdict/RESULT.json,base_state_nll,mean_of_included_TDD_document_nll,,not_reported
DDD_mean_nll,2.0781946582719684,,,nats/token,64,document,LOCKED,e002_coupler/artifacts/attempt_001/verdict/RESULT.json,factorial_locked_metrics.DDD.nll,mean_of_included_document_nll,,not_reported
DDT_mean_nll,2.079620852135122,,,nats/token,64,document,LOCKED,e002_coupler/artifacts/attempt_001/verdict/RESULT.json,factorial_locked_metrics.DDT.nll,mean_of_included_document_nll,,not_reported
DTD_mean_nll,2.0911695659160614,,,nats/token,64,document,LOCKED,e002_coupler/artifacts/attempt_001/verdict/RESULT.json,factorial_locked_metrics.DTD.nll,mean_of_included_document_nll,,not_reported
DTT_mean_nll,2.0930846175178885,,,nats/token,64,document,LOCKED,e002_coupler/artifacts/attempt_001/verdict/RESULT.json,factorial_locked_metrics.DTT.nll,mean_of_included_document_nll,,not_reported
EMPTY_9B_mean_nll,2.841563619673252,,,nats/token,64,document,LOCKED,e002_coupler/artifacts/attempt_001/verdict/RESULT.json,empty_9b_nll,sealed_aggregate,,not_reported
JOINT_CORRECTED_mean_nll,1.9893992878496647,,,nats/token,64,document,LOCKED,e002_coupler/artifacts/attempt_001/verdict/RESULT.json,joint_corrected_nll,mean_of_recovered_ablation_identities,,not_reported
JOINT_SHUFFLED_mean_nll,3.177764356136322,,,nats/token,64,document,LOCKED,e002_coupler/artifacts/attempt_001/verdict/RESULT.json,joint_shuffled_nll,sealed_aggregate,,not_reported
NATIVE_9B_mean_nll,1.9130319516989402,,,nats/token,64,document,LOCKED,e002_coupler/artifacts/attempt_001/verdict/RESULT.json,native_9b_nll,mean_of_recovered_ablation_identities,,not_reported
SOURCE_4B_mean_nll,2.0415435840841383,,,nats/token,64,document,LOCKED,e002_coupler/artifacts/attempt_001/verdict/RESULT.json,source_4b_nll,sealed_aggregate,,not_reported
TDD_mean_nll,2.0184217002242804,,,nats/token,64,document,LOCKED,e002_coupler/artifacts/attempt_001/verdict/RESULT.json,factorial_locked_metrics.TDD.nll,mean_of_included_document_nll,,not_reported
TDT_mean_nll,2.018709315918386,,,nats/token,64,document,LOCKED,e002_coupler/artifacts/attempt_001/verdict/RESULT.json,factorial_locked_metrics.TDT.nll,mean_of_included_document_nll,,not_reported
TTD_mean_nll,2.0462343553081155,,,nats/token,64,document,LOCKED,e002_coupler/artifacts/attempt_001/verdict/RESULT.json,factorial_locked_metrics.TTD.nll,mean_of_included_document_nll,,not_reported
TTT_mean_nll,2.0474684787914157,,,nats/token,64,document,LOCKED,e002_coupler/artifacts/attempt_001/verdict/RESULT.json,factorial_locked_metrics.TTT.nll,mean_of_included_document_nll,,not_reported
base_minus_corrected,0.02902241237461567,0.022828070959076286,0.0354129372164607,nats/token,64,document,LOCKED,e002_coupler/artifacts/attempt_001/verdict/RESULT.json,base_vs_corrected_improvement.mean_difference,sealed_aggregate,base_vs_corrected_improvement.bootstrap_ci,recomputed_from_included_observations
corrected_excess_nll,0.07636733615072444,,,nats/token,64,document,LOCKED,e002_coupler/artifacts/attempt_001/verdict/RESULT.json,corrected_delta_nll,sealed_aggregate,,not_reported
corrected_minus_source,-0.052144296234473586,-0.08434768246370365,-0.018539238761877647,nats/token,64,document,LOCKED,e002_coupler/artifacts/attempt_001/verdict/RESULT.json,corrected_vs_source_delta,sealed_aggregate,corrected_vs_source_bootstrap_ci,sealed_interval_observations_missing
corrected_minus_wrong_donor,-1.1883650682866573,-1.2956450485158713,-1.0854691902175546,nats/token,64,document,LOCKED,e002_coupler/artifacts/attempt_001/verdict/RESULT.json,corrected_vs_shuffled_delta,sealed_aggregate,corrected_vs_shuffled_bootstrap_ci,sealed_interval_observations_missing
ncr,0.9177547317073981,,,ratio,64,document,LOCKED,e002_coupler/artifacts/attempt_001/verdict/RESULT.json,native_context_recovery,sealed_aggregate,,not_reported
remaining_gap_reduction,0.27538174045113567,0.2241434426537088,0.33859383575159935,ratio,64,document,LOCKED,e002_coupler/artifacts/attempt_001/verdict/RESULT.json,remaining_gap_reduction,sealed_aggregate,remaining_gap_bootstrap_ci,recomputed_from_included_observations
tqr,0.4057554578263965,,,ratio,64,document,LOCKED,e002_coupler/artifacts/attempt_001/verdict/RESULT.json,tqr,sealed_aggregate,,not_reported
